Code,GDPPP,Population,Moving_Ratio,Dis,Male,Female,Rate,Income
12,6.080725115,1299,184.7575058,125,5754,5822,0.497062889,51489
13,2.761952871,7194,607.4506533,292,32083,29778,0.518630478,31451
14,2.52216557,3574,198.656967,506,15718,14980,0.512020327,33057
15,4.659481038,2472,190.1294498,480,10540,10663,0.497099467,35211
21,4.20343202,4375,132.5714286,684,18846,18601,0.50327129,34437
22,3.149556686,2747,247.5427739,979,12002,11488,0.510940826,29003
23,2.705087399,3833,221.7584138,1230,16483,16273,0.50320552,27735
31,7.075836768,2303,21.71081198,1239,10644,9412,0.530714001,66115
32,5.20420603,7869,57.18642775,2373,33888,33597,0.502156035,39772
33,5.033099129,5447,53.24031577,1322,22833,23842,0.489191216,40640
34,2.031782015,5957,236.6963237,1037,25834,25155,0.506658299,33341
35,3.87207567,3693,108.3130246,1981,15680,16103,0.493345499,32340
36,2.080858653,4462,98.61048857,1458,20190,18157,0.526507941,28363
37,4.001422004,9588,233.625365,421,41319,41017,0.501833949,33321
41,2.447261552,9405,340.2445508,695,41614,38595,0.518819584,29819
42,2.745462517,5728,158.8687151,1171,25274,23917,0.513793174,31811
43,2.380578893,6570,62.40487062,1516,28993,27358,0.514507285,29670
44,4.290662066,10441,13.40867733,2179,48050,41700,0.535376045,40432
45,2.013010097,4610,8.676789588,2373,20785,18900,0.523749528,30673
46,2.286267996,869,0,2775,3897,3599,0.519877268,30775
50,2.649809428,2885,69.32409012,3006,12716,12223,0.509884117,34727
51,2.111238329,8045,116.8427595,1881,35134,33643,0.510839379,32567
52,1.311904219,3479,17.24633515,2318,15658,13978,0.528343906,30433
53,1.532494697,4602,10.86484137,2907,20179,19385,0.510034375,29195
54,1.595786164,300,0,3736,1324,1268,0.510802469,49898
61,2.681716556,3735,104.4176707,1092,16410,15566,0.513197398,33384
62,1.590409108,2560,140.625,1622,11384,10523,0.519651253,29096
63,2.316346484,563,17.76198934,1819,2458,2396,0.506386485,36121
64,2.55234139,633,47.39336493,1192,2875,2588,0.526267619,37166
65,2.366174935,2185,36.61327231,3300,9679,9191,0.512930578,32003