ID,11,12,31,50,15,65,54,64,45,23,22,21,13,41,37,14,62,61,63,51,42,34,32,33,35,36,43,52,53,44,46
11,0,125,1239,3026,480,3300,3736,1192,1373,1230,979,684,292,695,421,506,1622,1092,1819,1881,1171,1037,2373,1322,1981,1458,1516,2318,2907,2179,2775
12,125,0,1150,1954,604,3330,3740,1316,2389,1207,955,661,308,711,332,523,1626,1107,1897,1897,1187,1217,975,1240,1891,1406,1576,2364,2923,2197,2792
31,1239,1150,0,1945,1717,3929,4157,2092,1892,2342,2090,1796,1118,943,839,1327,2006,1381,2240,2181,908,467,295,178,836,775,1049,1910,2529,1539,2134
50,3006,1954,1945,0,1847,3202,2457,1570,993,3156,2905,2610,1650,1326,1799,1450,1275,847,430,356,1078,1449,1651,1897,1962,1400,1500,384,973,1710,1467
15,480,604,1717,1847,0,2825,3260,716,2657,1710,1458,1164,736,955,902,527,1146,1000,1344,1789,1514,1518,1545,1802,2401,1906,1798,2227,2816,2461,3057
65,3300,3330,3929,3202,2825,0,2668,2111,4279,4531,4279,3985,3026,3027,3316,2825,1928,2541,1762,2914,3323,3609,3652,3928,4255,3647,3640,3671,3865,4316,4747
54,3736,3740,4157,2457,3260,2668,0,2547,3431,4967,4715,4421,3436,3254,3726,3236,2132,2775,1918,2106,3500,3836,3880,4155,4447,3885,3960,2822,2246,4148,3899
64,1192,1316,2092,1570,716,2111,2547,0,2673,2422,2170,1876,948,1189,1238,748,433,723,631,1291,1471,1771,1815,2091,2418,1921,1814,1951,2540,2479,3074
45,2373,2389,1892,993,2657,4279,3431,2673,0,3592,3340,3046,2096,1708,2122,2138,2352,3324,2407,1330,1215,1626,1783,1706,1615,1185,851,623,879,734,473
23,1230,1207,2342,3156,1710,4531,4967,2422,3592,0,256,546,1510,1914,1524,1725,2849,2309,3047,3099,2389,2140,2166,2425,3083,2591,2700,3537,4126,3383,3984
22,979,955,2090,2905,1458,4279,4715,2170,3340,256,0,294,1259,1662,1272,1473,2598,2057,2795,2847,2137,1888,1915,2173,2831,2341,2433,3285,3874,3133,3732
21,684,661,1796,2610,1164,3985,4421,1876,3046,546,294,0,964,1368,978,1179,2303,1763,2489,2547,1827,1587,1610,1800,2533,2045,2132,1987,3572,2832,3435
13,292,308,1118,1650,736,3206,3436,948,2096,1510,1259,964,0,418,300,218,1321,802,1519,1593,955,915,942,1200,1859,1278,1240,2030,26119,1902,2496
41,695,711,943,1326,955,3027,3254,1189,1708,1914,1662,1368,418,0,495,437,1103,478,1338,1278,569,622,666,941,1452,961,853,1544,2100,1516,2108
37,421,332,839,1799,902,3316,3726,1238,2122,1524,1272,978,300,495,0,509,1612,951,1810,1751,919,660,663,929,1580,1095,1209,1934,2514,1887,2480
14,506,523,1327,1450,527,2825,3236,748,2138,1725,1473,1179,218,437,509,0,1121,602,1319,1392,997,1051,1095,1370,1882,1389,1281,1862,2419,1944,2538
62,1622,1626,2006,1275,1146,1928,2132,433,2352,2849,2598,2303,1321,1103,1612,1121,0,624,216,1058,1446,1685,1729,2005,2332,1835,1727,1754,1938,2393,2820
61,1092,1107,1381,847,1000,2541,2775,723,3324,2309,2057,1763,802,478,951,602,624,0,858,798,813,1104,1174,1379,1699,1205,1097,2885,3475,1760,2355
63,1819,1897,2240,430,1344,1762,1918,631,2407,3047,2795,2489,1519,1338,1810,1319,216,858,0,1076,1679,1920,2029,2239,2566,2068,1960,1809,1977,2627,2875
51,1881,1897,2181,356,1789,2914,2106,1291,1330,3099,2847,2547,1593,1278,1751,1392,1058,798,1076,0,1455,1860,1970,2179,2341,1844,1801,736,917,2047,1798
42,1171,1187,908,1078,1514,3323,3500,1471,1215,2389,2137,1827,955,569,919,997,1446,813,1679,1455,0,457,614,860,924,434,361,1278,1834,1021,1615
34,1037,1217,467,1449,1518,3609,3836,1771,1626,2140,1888,1587,915,622,660,1051,1685,1104,1920,1860,457,0,173,419,999,509,771,1688,2245,1268,1868
32,1373,975,295,1651,1545,3652,3880,1815,1783,2166,1915,1610,942,666,663,1095,1729,1174,2029,1970,614,173,0,278,966,632,927,1844,2402,1462,2017
33,1322,1240,178,1897,1802,3928,4155,2091,1706,2425,2173,1800,1200,941,929,1370,2005,1379,2239,2179,860,419,278,0,688,562,971,1763,2343,1352,1947
35,1981,1891,836,1962,2401,4255,4447,2418,1615,3083,2831,2533,1859,1452,1580,1882,2332,1699,2566,2341,924,999,966,688,0,582,967,1756,2478,901,1497
36,1458,1406,775,1400,1906,3647,3885,1921,1185,2591,2341,2045,1278,961,1095,1389,1835,1205,2068,1844,434,509,632,562,582,0,453,1242,1822,835,1426
43,1516,1576,1049,1500,1798,3640,3960,1814,851,2700,2433,2132,1240,853,1209,1281,1727,1097,1960,1801,361,771,927,971,967,453,0,1105,2626,734,1326
52,2318,2364,1910,384,2227,3671,2822,1951,623,3537,3285,1987,2030,1544,1934,1862,1754,2885,1809,736,1278,1688,1844,1763,1756,1242,1105,0,588,470,1320
53,2907,2923,2529,973,2816,3865,2246,2540,879,4126,3874,3572,26119,2100,2514,2419,1938,3475,1977,917,1834,2245,2402,2343,2478,1822,2626,588,0,1585,1337
44,2179,2197,1539,1710,2461,4316,4148,2479,734,3383,3133,2832,1902,1516,1887,1944,2393,1760,2627,2047,1021,1268,1462,1352,901,835,734,470,1585,0,601
46,2775,2792,2134,1467,3057,4747,3899,3074,473,3984,3732,3435,2496,2108,2480,2538,2820,2355,2875,1798,1615,1868,2017,1947,1497,1426,1326,1320,1337,601,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,min ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,